"","name","budget","company","country","director","genre","gross","rating","released","runtime","score","star","votes","writer","year","number of reviews"
"1231","Julie & Julia",4e+07,"Columbia Pictures","USA","Nora Ephron","Biography","94125426.0","PG-13","2009-08-07",118,"7.0","Amy Adams","86198","Nora Ephron",2009,277
"1232","Jumper",8.5e+07,"Twentieth Century Fox Film Corporation","USA","Doug Liman","Action","80172128.0","PG-13","2008-02-14",88,"6.1","Hayden Christensen","256451","David S. Goyer",2008,488
"1233","Jumping the Broom",6600000,"TriStar Pictures","USA","Salim Akil","Comedy","37295394.0","PG-13","2011-05-06",100,"5.7","Paula Patton","8399","Elizabeth Hunter",2011,59
"1234","Juno",7500000,"Fox Searchlight Pictures","USA","Jason Reitman","Comedy","143495265.0","PG-13","2007-12-25",96,"7.5","Ellen Page","439421","Diablo Cody",2007,881
"1235","Juno",7500000,"Fox Searchlight Pictures","USA","Jason Reitman","Comedy","143495265.0","PG-13","2007-12-25",96,"7.5","Ellen Page","439421","Diablo Cody",2007,881
"1236","Jupiter Ascending",1.76e+08,"Warner Bros.","USA","Lana Wachowski","Action","47387723.0","PG-13","2015-02-06",127,"5.3","Channing Tatum","153531","Lilly Wachowski",2015,720
"1237","Jurassic Park",6.3e+07,"Universal Pictures","USA","Steven Spielberg","Adventure","402453882.0","PG-13","1993-06-11",127,"8.1","Sam Neill","685270","Michael Crichton",1993,895
"1238","Jurassic Park III",9.3e+07,"Universal Pictures","USA","Joe Johnston","Action","181171875.0","PG-13","2001-07-18",92,"5.9","Sam Neill","239644","Michael Crichton",2001,1236
"1239","Jurassic World",1.5e+08,"Universal Pictures","USA","Colin Trevorrow","Action","652270625.0","PG-13","2015-06-12",124,"7.0","Chris Pratt","469200","Rick Jaffa",2015,1290
"1240","Just Go with It",8e+07,"Columbia Pictures","USA","Dennis Dugan","Comedy","103028109.0","PG-13","2011-02-11",117,"6.4","Adam Sandler","185840","Allan Loeb",2011,203
"1241","Just Like Heaven",5.8e+07,"DreamWorks","USA","Mark Waters","Comedy","48318130.0","PG-13","2005-09-16",95,"6.7","Reese Witherspoon","87397","Peter Tolan",2005,263
"1242","Just Married",1.8e+07,"Twentieth Century Fox Film Corporation","USA","Shawn Levy","Comedy","56127162.0","PG-13","2003-01-10",95,"5.4","Ashton Kutcher","60573","Sam Harper",2003,205
"1243","Just My Luck",2.8e+07,"New Regency Pictures","USA","Donald Petrie","Comedy","17324744.0","PG-13","2006-05-12",100,"5.4","Lindsay Lohan","47270","I. Marlene King",2006,149
"1244","Juwanna Mann",15600000,"Morgan Creek Productions","USA","Jesse Vaughan","Comedy","13571817.0","PG-13","2002-06-21",91,"4.5","Miguel A. Núñez Jr.","5482","Bradley Allenstein",2002,40
"1245","K-19: The Widowmaker",1e+08,"First Light Production","UK","Kathryn Bigelow","Drama","35168966.0","PG-13","2002-07-19",138,"6.7","Harrison Ford","52002","Louis Nowra",2002,278
"1246","K-PAX",6.8e+07,"IMF Internationale Medien und Film GmbH & Co. 2. Produktions KG","USA","Iain Softley","Drama","50338485.0","PG-13","2001-10-26",120,"7.4","Kevin Spacey","158661","Gene Brewer",2001,537
"1247","Kama Sutra: A Tale of Love",3e+06,"NDF International","USA","Mira Nair","Crime","4109095.0","R","1997-02-28",117,"6.0","Naveen Andrews","8807","Helena Kriel",1996,92
"1248","Kangaroo Jack",6e+07,"Castle Rock Entertainment","USA","David McNally","Action","66934963.0","PG","2003-01-17",89,"4.4","Anthony Anderson","25060","Steve Bing",2003,181
"1249","Kansas City",1.9e+07,"CiBy 2000","France","Robert Altman","Crime","1353824.0","R","1996-08-16",116,"6.3","Jennifer Jason Leigh","3727","Robert Altman",1996,44
"1250","Kate & Leopold",4.8e+07,"Konrad Pictures","USA","James Mangold","Comedy","47121859.0","PG-13","2001-12-25",118,"6.4","Meg Ryan","69008","Steven Rogers",2001,316
"1251","Keanu",1.5e+07,"New Line Cinema","USA","Peter Atencio","Action","20566327.0","R","2016-04-29",100,"6.3","Keegan-Michael Key","34580","Jordan Peele",2016,84
"1252","Keeping the Faith",2.9e+07,"Spyglass Entertainment","USA","Edward Norton","Comedy","37047880.0","PG-13","2000-04-14",128,"6.4","Ben Stiller","46213","Stuart Blumberg",2000,259
"1253","Kick-Ass",3e+07,"Marv Films","UK","Matthew Vaughn","Action","48071303.0","R","2010-04-16",117,"7.7","Aaron Taylor-Johnson","465530","Jane Goldman",2010,801
"1254","Kick-Ass 2",2.8e+07,"Universal Pictures","USA","Jeff Wadlow","Action","28795985.0","R","2013-08-16",103,"6.6","Aaron Taylor-Johnson","219877","Jeff Wadlow",2013,378
"1255","Kicking & Screaming",4.5e+07,"Universal Pictures","USA","Jesse Dylan","Comedy","52580895.0","PG","2005-05-13",95,"5.6","Will Ferrell","31788","Leo Benvenuti",2005,118
"1256","Kids",1500000,"Guys Upstairs","USA","Larry Clark","Drama","7417210.0","UNRATED","1995-09-01",91,"7.0","Leo Fitzpatrick","63097","Harmony Korine",1995,408
"1257","Kill Bill: Vol. 1",3e+07,"Miramax","USA","Quentin Tarantino","Action","70099045.0","R","2003-10-10",111,"8.1","Uma Thurman","807087","Quentin Tarantino",2003,2105
"1258","Kill Bill: Vol. 2",3e+07,"Miramax","USA","Quentin Tarantino","Action","66208183.0","R","2004-04-16",137,"8.0","Uma Thurman","555508","Quentin Tarantino",2004,935
"1259","Kill the Messenger",5e+06,"Sierra / Affinity","USA","Michael Cuesta","Biography","2450846.0","R","2015-04-10",112,"7.0","Jeremy Renner","36607","Peter Landesman",2014,99
"1260","Killer Elite",7e+07,"Omnilab Media","UK","Gary McKendry","Action","25124986.0","R","2011-09-23",116,"6.5","Jason Statham","111398","Matt Sherring",2011,157
"1261","Killer Joe",1.1e+07,"Voltage Pictures","USA","William Friedkin","Crime","1987762.0","R","2012-06-29",102,"6.7","Matthew McConaughey","63334","Tracy Letts",2011,216
"1262","Killers",7.5e+07,"Lionsgate","USA","Robert Luketic","Action","47059963.0","PG-13","2010-06-04",100,"5.4","Katherine Heigl","77029","Bob DeRosa",2010,120
"1263","Killing Them Softly",1.5e+07,"Plan B Entertainment","USA","Andrew Dominik","Crime","15026056.0","R","2012-11-30",97,"6.2","Brad Pitt","117806","Andrew Dominik",2012,369
"1264","Killing Zoe",1500000,"Davis-Films","France","Roger Avary","Crime","418953.0","R","1994-09",96,"6.5","Eric Stoltz","17980","Roger Avary",1993,93
"1265","Kindergarten Cop",2.6e+07,"Imagine Entertainment","USA","Ivan Reitman","Comedy","91457688.0","PG-13","1990-12-21",111,"6.1","Arnold Schwarzenegger","115309","Murray Salem",1990,109
"1266","King Kong",2.07e+08,"Universal Pictures","New Zealand","Peter Jackson","Action","218080025.0","PG-13","2005-12-14",187,"7.2","Naomi Watts","340976","Fran Walsh",2005,2618
"1267","King Kong",2.07e+08,"Universal Pictures","New Zealand","Peter Jackson","Action","218080025.0","PG-13","2005-12-14",187,"7.2","Naomi Watts","340976","Fran Walsh",2005,2618
"1268","King Kong",2.07e+08,"Universal Pictures","New Zealand","Peter Jackson","Action","218080025.0","PG-13","2005-12-14",187,"7.2","Naomi Watts","340976","Fran Walsh",2005,2618
"1269","Kingdom of Heaven",1.3e+08,"Twentieth Century Fox Film Corporation","USA","Ridley Scott","Action","47398413.0","R","2005-05-06",144,"7.2","Orlando Bloom","232742","William Monahan",2005,942
"1270","Kingpin",2.7e+07,"Rysher Entertainment","USA","Bobby Farrelly","Comedy","24944213.0","PG-13","1996-07-26",113,"6.9","Woody Harrelson","67115","Barry Fanaro",1996,185
"1271","Kinsey",1.1e+07,"Fox Searchlight Pictures","USA","Bill Condon","Biography","10214647.0","R","2005-01-07",118,"7.1","Liam Neeson","44032","Bill Condon",2004,204
"1272","Kiss Kiss Bang Bang",1.5e+07,"Warner Bros.","USA","Shane Black","Comedy","4243756.0","R","2005-11-18",103,"7.6","Robert Downey Jr.","188313","Brett Halliday",2005,336
"1273","Kiss of Death",4e+07,"Twentieth Century Fox Film Corporation","USA","Barbet Schroeder","Action","14942422.0","R","1995-04-21",101,"5.9","David Caruso","14977","Eleazar Lipsky",1995,60
"1274","Kiss of the Dragon",2.5e+07,"Twentieth Century Fox Film Corporation","France","Chris Nahon","Action","36845124.0","R","2001-07-06",98,"6.6","Jet Li","55439","Jet Li",2001,254
"1275","Kiss the Girls",2.7e+07,"Paramount Pictures","USA","Gary Fleder","Crime","60527873.0","R","1997-10-03",115,"6.6","Morgan Freeman","54408","James Patterson",1997,143
"1276","Kissing Jessica Stein",1e+06,"Fox Searchlight Pictures","USA","Charles Herman-Wurmfeld","Comedy","7022940.0","R","2002-04-05",97,"6.6","Jennifer Westfeldt","14583","Heather Juergensen",2001,190
"1277","Kit Kittredge: An American Girl",1e+07,"Picturehouse","USA","Patricia Rozema","Drama","17655201.0","G","2008-07-02",101,"6.6","Abigail Breslin","4988","Ann Peacock",2008,24
"1278","Knight and Day",1.17e+08,"Twentieth Century Fox Film Corporation","USA","James Mangold","Action","76423035.0","PG-13","2010-06-23",109,"6.3","Tom Cruise","157815","Patrick O'Neill",2010,348
"1279","Knock Off",3.5e+07,"Knock Films A.V.V.","Aruba","Hark Tsui","Action","10076136.0","R","1998-09-04",91,"4.8","Jean-Claude Van Damme","12179","Steven E. de Souza",1998,141
"1280","Knocked Up",3e+07,"Universal Pictures","USA","Judd Apatow","Comedy","148734225.0","R","2007-06-01",129,"7.0","Seth Rogen","313748","Judd Apatow",2007,559
"1281","Knowing",5e+07,"Summit Entertainment","USA","Alex Proyas","Drama","79957634.0","PG-13","2009-03-20",121,"6.2","Nicolas Cage","197063","Ryne Douglas Pearson",2009,791
"1282","Krampus",1.5e+07,"Legendary Entertainment","USA","Michael Dougherty","Comedy","42592530.0","PG-13","2015-12-04",98,"6.2","Adam Scott","44393","Todd Casey",2015,181
"1283","Kundun",2.8e+07,"De Fina-Cappa","USA","Martin Scorsese","Biography","5532301.0","PG-13","1998-01-16",134,"7.0","Tenzin Thuthob Tsarong","22853","Melissa Mathison",1997,117
"1284","Kung Fu Hustle",2e+07,"Columbia Pictures Film Production Asia","Hong Kong","Stephen Chow","Action","17108591.0","R","2005-04-22",99,"7.8","Stephen Chow","106883","Stephen Chow",2004,354
"1285","Kung Fu Panda",1.3e+08,"DreamWorks Animation","USA","Mark Osborne","Animation","215434591.0","PG","2008-06-06",92,"7.6","Jack Black","339024","Jonathan Aibel",2008,360
"1286","Kung Fu Panda 2",1.5e+08,"DreamWorks Animation","USA","Jennifer Yuh Nelson","Animation","165249063.0","PG","2011-05-26",90,"7.3","Jack Black","203107","Jonathan Aibel",2011,209
"1287","Kung Fu Panda 3",1.45e+08,"China Film Co.","China","Alessandro Carloni","Animation","143528619.0","PG","2016-01-29",95,"7.1","Jack Black","95310","Jonathan Aibel",2016,145
"1288","Kung Pow: Enter the Fist",1e+07,"Twentieth Century Fox Film Corporation","USA","Steve Oedekerk","Action","16033556.0","PG-13","2002-01-25",81,"6.2","Steve Oedekerk","39559","Steve Oedekerk",2002,518
"1289","L.A. Confidential",3.5e+07,"Regency Enterprises","USA","Curtis Hanson","Crime","64616940.0","R","1997-09-19",138,"8.3","Kevin Spacey","448833","James Ellroy",1997,625
"1290","L.I.E.",7e+05,"Alter Ego Entertainment","USA","Michael Cuesta","Crime","1141829.0","R","2003-11-14",97,"7.2","Brian Cox","8842","Stephen M. Ryder",2001,109
"1291","La Bamba",6500000,"Columbia Pictures Corporation","USA","Luis Valdez","Biography","54215416.0","PG-13","1987-07-24",108,"6.8","Lou Diamond Phillips","22839","Luis Valdez",1987,63
"1292","Labor Day",1.8e+07,"Indian Paintbrush","USA","Jason Reitman","Drama","13362308.0","PG-13","2014-01-31",111,"6.9","Kate Winslet","35029","Jason Reitman",2013,111
"1293","Ladder 49",5.5e+07,"Touchstone Pictures","USA","Jay Russell","Action","74541707.0","PG-13","2004-10-01",115,"6.5","Joaquin Phoenix","50406","Lewis Colick",2004,323
"1294","Lady in the Water",7e+07,"Warner Bros.","USA","M. Night Shyamalan","Drama","42285169.0","PG-13","2006-07-21",110,"5.6","Paul Giamatti","84057","M. Night Shyamalan",2006,1040
"1295","Lady in White",4700000,"New Sky Communications Inc.","USA","Frank LaLoggia","Fantasy","1705139.0","PG-13","1988-04-22",113,"6.7","Lukas Haas","5135","Frank LaLoggia",1988,69
"1296","Lake Placid",3.5e+07,"Fox 2000 Pictures","USA","Steve Miner","Action","31770414.0","R","1999-07-16",82,"5.6","Bridget Fonda","46036","David E. Kelley",1999,366
"1297","Lakeview Terrace",2.2e+07,"Screen Gems","USA","Neil LaBute","Crime","39263506.0","PG-13","2008-09-19",110,"6.1","Samuel L. Jackson","42915","David Loughery",2008,135
"1298","Land of the Lost",1e+08,"Universal Pictures","USA","Brad Silberling","Adventure","49438370.0","PG-13","2009-06-05",102,"5.4","Will Ferrell","54864","Chris Henchy",2009,224
"1299","Lara Croft Tomb Raider: The Cradle of Life",9.5e+07,"Paramount Pictures","USA","Jan de Bont","Action","65660196.0","PG-13","2003-07-25",117,"5.5","Angelina Jolie","110166","Dean Georgaris",2003,316
"1300","Lara Croft: Tomb Raider",1.15e+08,"Paramount Pictures","USA","Simon West","Action","131144183.0","PG-13","2001-06-15",100,"5.8","Angelina Jolie","167892","Sara B. Cooper",2001,824
"1301","Larry Crowne",3e+07,"Universal Pictures","USA","Tom Hanks","Comedy","35608245.0","PG-13","2011-07-01",98,"6.1","Tom Hanks","53606","Tom Hanks",2011,184
"1302","Lars and the Real Girl",1.2e+07,"Metro-Goldwyn-Mayer (MGM)","USA","Craig Gillespie","Comedy","5972884.0","PG-13","2007-11-02",106,"7.4","Ryan Gosling","122310","Nancy Oliver",2007,299
"1303","Last Action Hero",8.5e+07,"Columbia Pictures Corporation","USA","John McTiernan","Action","50016394.0","PG-13","1993-06-18",130,"6.3","Arnold Schwarzenegger","114476","Zak Penn",1993,257
"1304","Last Holiday",4.5e+07,"Last Holiday Productions","USA","Wayne Wang","Comedy","38360195.0","PG-13","2006-01-13",112,"6.4","Queen Latifah","23013","Jeffrey Price",2006,116
"1305","Last Vegas",2.8e+07,"CBS Films","USA","Jon Turteltaub","Comedy","63914167.0","PG-13","2013-11-01",105,"6.6","Robert De Niro","114125","Dan Fogelman",2013,173
"1306","Latter Days",850000,"Funny Boy Films","USA","C. Jay Cox","Comedy","819939.0","R","2004-07-01",107,"7.1","Wes Ramsey","15271","C. Jay Cox",2003,252
"1307","Law Abiding Citizen",5e+07,"Film Department, The","USA","F. Gary Gray","Crime","73343413.0","R","2009-10-16",109,"7.4","Gerard Butler","232508","Kurt Wimmer",2009,429
"1308","Leap Year",1.9e+07,"Universal Pictures","USA","Anand Tucker","Comedy","25918920.0","PG","2010-01-08",100,"6.5","Amy Adams","77685","Deborah Kaplan",2010,181
"1309","Leatherheads",5.8e+07,"Universal Pictures","USA","George Clooney","Comedy","31199215.0","PG-13","2008-04-04",114,"6.0","George Clooney","28721","Duncan Brantley",2008,120
"1310","Lee Daniels' The Butler",3e+07,"Follow Through Productions","USA","Lee Daniels","Biography","116632095.0","PG-13","2013-08-16",132,"7.2","Forest Whitaker","94884","Danny Strong",2013,323
"1311","Left Behind",1.6e+07,"Stoney Lake Entertainment","USA","Vic Armstrong","Action","13998282.0","PG-13","2014-10-03",110,"3.1","Nicolas Cage","28203","Jerry B. Jenkins",2014,374
"1312","Left Behind",1.6e+07,"Stoney Lake Entertainment","USA","Vic Armstrong","Action","13998282.0","PG-13","2014-10-03",110,"3.1","Nicolas Cage","28203","Jerry B. Jenkins",2014,374
"1313","Legal Eagles",4e+07,"Universal Pictures","USA","Ivan Reitman","Comedy","49851591.0","PG","1986-06-20",116,"5.9","Robert Redford","8374","Ivan Reitman",1986,34
"1314","Legally Blonde",1.8e+07,"Metro-Goldwyn-Mayer (MGM)","USA","Robert Luketic","Comedy","96520674.0","PG-13","2001-07-13",96,"6.2","Reese Witherspoon","145161","Amanda Brown",2001,548
"1315","Legally Blonde 2: Red, White & Blonde",4.5e+07,"Metro-Goldwyn-Mayer (MGM)","USA","Charles Herman-Wurmfeld","Comedy","90186328.0","PG-13","2003-07-02",95,"4.7","Reese Witherspoon","50536","Amanda Brown",2003,297
"1316","Legend",3e+07,"Cross Creek Pictures","UK","Brian Helgeland","Biography","1872994.0","R","2015-11-20",132,"7.0","Tom Hardy","115765","Brian Helgeland",2015,174
"1317","Legend of the Guardians: The Owls of Ga'Hoole",8e+07,"Warner Bros.","USA","Zack Snyder","Animation","55675313.0","PG","2010-09-24",97,"7.0","Jim Sturgess","69624","John Orloff",2010,160
"1318","Legends of the Fall",3e+07,"TriStar Pictures","USA","Edward Zwick","Drama","66638883.0","R","1995-01-13",133,"7.5","Brad Pitt","121453","Susan Shilliday",1994,329
"1319","Legion",2.6e+07,"Bold Films","USA","Scott Stewart","Action","40168080.0","R","2010-01-22",100,"5.2","Paul Bettany","85724","Peter Schink",2010,315
"1320","Let's Be Cops",1.7e+07,"Genre Films","USA","Luke Greenfield","Comedy","82390774.0","R","2014-08-13",104,"6.5","Jake Johnson","114845","Luke Greenfield",2014,147
"1321","Let Me In",2e+07,"Overture Films","UK","Matt Reeves","Drama","12134420.0","R","2010-10-01",116,"7.2","Kodi Smit-McPhee","99166","Matt Reeves",2010,366
"1322","Lethal Weapon 3",3.5e+07,"Warner Bros.","USA","Richard Donner","Action","144731527.0","R","1992-05-15",118,"6.7","Mel Gibson","136206","Jeffrey Boam",1992,136
"1323","Lethal Weapon 4",1.4e+08,"Warner Bros.","USA","Richard Donner","Action","130444603.0","R","1998-07-10",127,"6.6","Mel Gibson","135019","Shane Black",1998,287
"1324","Letters from Iwo Jima",1.9e+07,"DreamWorks","USA","Clint Eastwood","Drama","13756082.0","R","2007-02-02",141,"7.9","Ken Watanabe","139014","Iris Yamashita",2006,316
"1325","Letters to Juliet",3e+07,"Summit Entertainment","USA","Gary Winick","Adventure","53032453.0","PG","2010-05-14",100,"6.6","Amanda Seyfried","79868","Jose Rivera",2010,156
"1326","Liar Liar",4.5e+07,"Universal Pictures","USA","Tom Shadyac","Comedy","181410615.0","PG-13","1997-03-21",86,"6.8","Jim Carrey","237870","Paul Guay",1997,243
"1327","Licence to Kill",3.2e+07,"Danjaq","UK","John Glen","Action","34667015.0","PG-13","1989-07-14",133,"6.6","Timothy Dalton","79153","Michael G. Wilson",1989,317
"1328","License to Wed",3.5e+07,"Warner Bros.","USA","Ken Kwapis","Comedy","43799818.0","PG-13","2007-07-03",91,"5.3","Mandy Moore","33769","Kim Barker",2007,119
"1329","Life as a House",2.7e+07,"Winkler Films","USA","Irwin Winkler","Drama","15652637.0","R","2001-11-09",125,"7.5","Hayden Christensen","40296","Mark Andrus",2001,359
"1330","Life of Pi",1.2e+08,"Fox 2000 Pictures","USA","Ang Lee","Adventure","124987023.0","PG","2012-11-21",127,"7.9","Suraj Sharma","482766","Yann Martel",2012,755
"1331","Life or Something Like It",4e+07,"Regency Enterprises","USA","Stephen Herek","Comedy","14448589.0","PG-13","2002-04-26",103,"5.8","Angelina Jolie","20540","John Scott Shepherd",2002,128
"1332","Light Sleeper",5e+06,"Carolco Pictures","USA","Paul Schrader","Crime","1050861.0","R","1992-03-13",103,"6.9","Willem Dafoe","3999","Paul Schrader",1992,39
"1333","Lights Out",4900000,"New Line Cinema","USA","David F. Sandberg","Horror","67235683.0","PG-13","2016-07-22",81,"6.4","Teresa Palmer","80019","Eric Heisserer",2016,95
"1334","Like Crazy",250000,"Paramount Vantage","USA","Drake Doremus","Drama","3413908.0","PG-13","2012-01-27",86,"6.7","Felicity Jones","51491","Drake Doremus",2011,150
"1335","Like Mike",3e+07,"Twentieth Century Fox Film Corporation","USA","John Schultz","Comedy","51432423.0","PG","2002-07-03",99,"5.1","Shad Moss","16153","Michael Elliot",2002,72
"1336","Lilo & Stitch",8e+07,"Walt Disney Pictures","USA","Dean DeBlois","Animation","145794338.0","PG","2002-06-21",85,"7.2","Daveigh Chase","131270","Chris Sanders",2002,367
"1337","Lincoln",6.5e+07,"DreamWorks","USA","Steven Spielberg","Biography","182207973.0","PG-13","2012-11-16",150,"7.4","Daniel Day-Lewis","211227","Tony Kushner",2012,720
"1338","Lions for Lambs",3.5e+07,"Metro-Goldwyn-Mayer (MGM)","USA","Robert Redford","Drama","14998070.0","R","2007-11-09",92,"6.2","Tom Cruise","42926","Matthew Michael Carnahan",2007,298
"1339","Little Black Book",3.5e+07,"Revolution Studios","USA","Nick Hurran","Comedy","20422207.0","PG-13","2004-08-06",111,"5.3","Brittany Murphy","15844","Melissa Carter",2004,116
"1340","Little Children",2.6e+07,"New Line Cinema","USA","Todd Field","Drama","5463019.0","R","2007-02-09",136,"7.6","Kate Winslet","96259","Todd Field",2006,320
"1341","Little Fockers",1e+08,"Universal Pictures","USA","Paul Weitz","Comedy","148383780.0","PG-13","2010-12-22",98,"5.5","Ben Stiller","91634","John Hamburg",2010,152
"1342","Little Miss Sunshine",8e+06,"Fox Searchlight Pictures","USA","Jonathan Dayton","Comedy","59891098.0","R","2006-08-18",101,"7.8","Steve Carell","381001","Michael Arndt",2006,889
"1343","Little Nicky",8.5e+07,"Avery Pix","USA","Steven Brill","Comedy","39464775.0","PG-13","2000-11-10",90,"5.3","Adam Sandler","85512","Tim Herlihy",2000,237
"1344","Little Shop of Horrors",2.5e+07,"Geffen Company, The","USA","Frank Oz","Comedy","38747385.0","PG-13","1986-12-19",94,"6.9","Rick Moranis","53327","Howard Ashman",1986,165
"1345","Little White Lies",2.5e+07,"Les Productions du Trésor","France","Guillaume Canet","Comedy","206088.0","NOT RATED","2010-10-20",134,"7.1","François Cluzet","20148","Guillaume Canet",2010,48
"1346","Little Women",1.5e+07,"Columbia Pictures Corporation","USA","Gillian Armstrong","Drama","50083616.0","PG","1994-12-25",115,"7.3","Susan Sarandon","39288","Louisa May Alcott",1994,132
"1347","Littleman",6.4e+07,"Revolution Studios","USA","Keenen Ivory Wayans","Comedy","58645052.0","PG-13","2006-07-14",100,"4.3","Shawn Wayans","42365","Keenen Ivory Wayans",2006,187
"1348","Live Free or Die Hard",1.1e+08,"Twentieth Century Fox Film Corporation","USA","Len Wiseman","Action","134529403.0","PG-13","2007-06-27",128,"7.2","Bruce Willis","352297","Mark Bomback",2007,782
"1349","Loaded Weapon 1",8200000,"New Line Cinema","USA","Gene Quintano","Action","27979400.0","PG-13","1993-02-05",84,"6.1","Emilio Estevez","39412","Don Holley",1993,72
"1350","Lockout",2e+07,"EuropaCorp","France","James Mather","Action","14326864.0","PG-13","2012-04-13",95,"6.1","Guy Pearce","85680","Stephen St. Leger",2012,236
"1351","LOL",1.1e+07,"Double Feature Films","USA","Lisa Azuelos","Comedy","46500.0","PG-13","2012-09-14",97,"4.3","Miley Cyrus","47937","Lisa Azuelos",2012,111
"1352","Lolita",6.2e+07,"Guild","USA","Adrian Lyne","Drama","1400000.0","R","1998-09-25",137,"6.9","Jeremy Irons","41536","Vladimir Nabokov",1997,207
"1353","Lolita",6.2e+07,"Guild","USA","Adrian Lyne","Drama","1400000.0","R","1998-09-25",137,"6.9","Jeremy Irons","41536","Vladimir Nabokov",1997,207
"1354","London Has Fallen",6e+07,"Millennium Films","UK","Babak Najafi","Action","62524260.0","R","2016-03-04",99,"5.9","Gerard Butler","106352","Creighton Rothenberger",2016,323
"1355","Lone Star",5e+06,"Columbia Pictures Corporation","USA","John Sayles","Drama","13269963.0","R","1996-06-21",135,"7.5","Chris Cooper","24495","John Sayles",1996,173
"1356","Lone Survivor",4e+07,"Film 44","USA","Peter Berg","Action","125095601.0","R","2014-01-10",121,"7.5","Mark Wahlberg","224829","Peter Berg",2013,420
"1357","Looney Tunes: Back in Action",8e+07,"Warner Bros.","Germany","Joe Dante","Animation","20991364.0","PG","2003-11-14",100,"5.7","Brendan Fraser","26853","Larry Doyle",2003,160
"1358","Looper",3e+07,"Endgame Entertainment","USA","Rian Johnson","Action","66486205.0","R","2012-09-28",113,"7.4","Joseph Gordon-Levitt","461775","Rian Johnson",2012,667
"1359","Loose Cannons",1.5e+07,"TriStar Pictures","USA","Bob Clark","Action","5585154.0","R","1990-02-09",94,"4.8","Gene Hackman","3785","Richard Christian Matheson",1990,29
"1360","Lord of War",5e+07,"Entertainment Manufacturing Company","USA","Andrew Niccol","Crime","24149632.0","R","2005-09-16",122,"7.6","Nicolas Cage","261701","Andrew Niccol",2005,437
"1361","Lords of Dogtown",2.5e+07,"Columbia Pictures Corporation","USA","Catherine Hardwicke","Biography","11008432.0","PG-13","2005-06-03",107,"7.1","Heath Ledger","46416","Stacy Peralta",2005,194
"1362","Loser",2e+07,"Branti Film Productions","USA","Amy Heckerling","Comedy","15618626.0","PG-13","2000-07-21",98,"5.3","Jason Biggs","23989","Amy Heckerling",2000,158
"1363","Lost in Space",8e+07,"New Line Cinema","USA","Stephen Hopkins","Action","69117629.0","PG-13","1998-04-03",130,"5.1","Gary Oldman","61386","Irwin Allen",1998,370
"1364","Lost in Translation",4e+06,"Focus Features","USA","Sofia Coppola","Drama","44585453.0","R","2003-10-03",102,"7.8","Bill Murray","345221","Sofia Coppola",2003,1848
"1365","Lost Souls",5e+07,"Avery Pix","USA","Janusz Kaminski","Drama","16779636.0","R","2000-10-13",97,"4.8","Winona Ryder","9712","Pierce Gardner",2000,167
"1366","Love & Basketball",2e+07,"40 Acres & A Mule Filmworks","USA","Gina Prince-Bythewood","Drama","27441122.0","PG-13","2000-04-21",124,"7.2","Sanaa Lathan","15454","Gina Prince-Bythewood",2000,116
"1367","Love & Other Drugs",3e+07,"Fox 2000 Pictures","USA","Edward Zwick","Comedy","32367005.0","R","2010-11-24",112,"6.7","Jake Gyllenhaal","154701","Charles Randolph",2010,215
"1368","Love Actually",4e+07,"Universal Pictures","UK","Richard Curtis","Comedy","59696144.0","R","2003-11-14",135,"7.7","Hugh Grant","346409","Richard Curtis",2003,1004
"1369","Love Happens",1.8e+07,"Universal Pictures","USA","Brandon Camp","Drama","22927390.0","PG-13","2009-09-18",100,"5.6","Jennifer Aniston","27008","Brandon Camp",2009,77
"1370","Love in the Time of Cholera",4.5e+07,"New Line Cinema","USA","Mike Newell","Drama","4607608.0","R","2007-11-16",139,"6.4","Javier Bardem","20111","Ronald Harwood",2007,115
"1371","Love Jones",1e+07,"Addis Wechsler Pictures","USA","Theodore Witcher","Drama","12514138.0","R","1997-03-14",104,"7.4","Larenz Tate","3076","Theodore Witcher",1997,28
"1372","Love Ranch",2.5e+07,"Aramid Entertainment Fund","USA","Taylor Hackford","Biography","134904.0","R","2011-01-06",100,"5.7","Helen Mirren","2558","Mark Jacobson",2010,17
"1373","Love Stinks",4e+06,"Baumgarten-Prophet Entertainment","USA","Jeff Franklin","Comedy","2800000.0","R","1999-09-10",94,"5.8","French Stewart","4508","Jeff Franklin",1999,85
"1374","Love the Coopers",1.7e+07,"CBS Films","USA","Jessie Nelson","Comedy","26284475.0","PG-13","2015-11-13",107,"5.7","Steve Martin","13475","Steven Rogers",2015,68
"1375","Lovely & Amazing",250000,"Blow Up Pictures","USA","Nicole Holofcener","Comedy","4186931.0","R","2002-08-02",91,"6.9","Catherine Keener","6267","Nicole Holofcener",2001,85
"1376","Loving Annabelle",1e+06,"Big Easy Pictures","USA","Katherine Brooks","Drama","1100000.0","NOT RATED","2007-05-24",76,"6.6","Erin Kelly","10025","Katherine Brooks",2006,75
"1377","Lucky Number Slevin",2.7e+07,"The Weinstein Company","Germany","Paul McGuigan","Crime","22494487.0","R","2006-04-07",110,"7.8","Josh Hartnett","275930","Jason Smilovic",2006,507
"1378","Lucky Number Slevin",2.7e+07,"The Weinstein Company","Germany","Paul McGuigan","Crime","22494487.0","R","2006-04-07",110,"7.8","Josh Hartnett","275930","Jason Smilovic",2006,507
