"","name","budget","company","country","director","genre","gross","rating","released","runtime","score","star","votes","writer","year","number of reviews"
"1067","Home Alone",1.8e+07,"Hughes Entertainment","USA","Chris Columbus","Comedy","285761243.0","PG","1990-11-16",103,"7.5","Macaulay Culkin","350395","John Hughes",1990,305
"1068","Home Alone 2: Lost in New York",1.8e+07,"Twentieth Century Fox Film Corporation","USA","Chris Columbus","Adventure","173585516.0","PG","1992-11-20",120,"6.6","Macaulay Culkin","226766","John Hughes",1992,189
"1069","Home for the Holidays",2e+07,"Paramount Pictures","USA","Jodie Foster","Comedy","17518220.0","PG-13","1995-11-03",103,"6.6","Holly Hunter","9567","Chris Radant",1995,76
"1070","Home Fries",1.5e+07,"Baltimore Pictures","USA","Dean Parisot","Comedy","10443316.0","PG-13","1998-11-25",91,"5.0","Drew Barrymore","7388","Vince Gilligan",1998,88
"1071","Home on the Range",1.1e+08,"Walt Disney Pictures","USA","Will Finn","Animation","50030461.0","PG","2004-04-02",76,"5.4","Judi Dench","15266","Will Finn",2004,88
"1072","Homefront",2.2e+07,"Open Road Films (II)","USA","Gary Fleder","Action","19783777.0","R","2013-11-27",100,"6.5","Jason Statham","90430","Sylvester Stallone",2013,154
"1073","Honey",1.8e+07,"Universal Pictures","USA","Bille Woodruff","Drama","30222640.0","PG-13","2003-12-05",94,"5.3","Jessica Alba","38850","Alonzo Brown",2003,144
"1074","Hoodwinked!",17500000,"The Weinstein Company","USA","Cory Edwards","Animation","51386611.0","PG","2006-01-13",80,"6.5","Anne Hathaway","48853","Cory Edwards",2005,247
"1075","Hook",7e+07,"Amblin Entertainment","USA","Steven Spielberg","Adventure","119654823.0","PG","1991-12-11",142,"6.7","Dustin Hoffman","196513","J.M. Barrie",1991,363
"1076","Hop",6.3e+07,"Universal Pictures","USA","Tim Hill","Animation","108085305.0","PG","2011-04-01",100,"5.5","Russell Brand","26043","Cinco Paul",2011,82
"1077","Hope Floats",3e+07,"Twentieth Century Fox Film Corporation","USA","Forest Whitaker","Drama","60053195.0","PG-13","1998-05-29",114,"5.9","Sandra Bullock","20726","Steven Rogers",1998,162
